Code;MCap (M);Vol (K);SEK (K);R Vol;Margin %;P/E;ROE;EPS;Owners;Close;Perf YTD;Perf 1Y;Perf 3Y;Perf 5Y;Score
SKF B;0.07576070522724081;0.2906371911573472;0.5387384542512038;0.3840738274188945;0.19047619047619047;0.07303998213089122;0.3125;0.1516833148353681;0.2072072072072072;0.17075515149087855;0.11678832116788321;0.1888111888111888;0.18269230769230768;0.004341534008683062;2.8875053758752847
HEXA B;0.2647870153880614;1.0;0.9999999999999999;0.7522595376272476;0.45238095238095233;0.17459608368699278;0.21875;0.04303859908743371;0.25225225225225223;0.07573542663756336;0.029197080291970795;0.1958041958041958;0.13942307692307693;0.05209840810419681;4.650322628183943
ABB;1.0;0.11096662332032943;0.6126944027788741;0.01379507182951194;0.3571428571428571;0.16997989725262452;0.8125;0.25601183869774324;0.45945945945945943;0.5674549932915475;0.364963503649635;0.4615384615384615;0.4326923076923077;0.2749638205499276;5.894163237203279
ALIV SDB;0.06709866700448248;0.0411790203727785;0.3875700639456856;0.04671296736751974;0.16666666666666666;0.042811406447770074;0.84375;1.0;0.04504504504504504;0.9038788873981217;0.0;0.0;0.2451923076923077;0.0;3.7899050319403775
SAAB B;0.09859540221654912;0.20091027308192458;0.3974816452198626;0.1560270193131006;0.19047619047619047;0.19395428486337576;0.3125;0.26526082130965595;1.0;0.18552375993752132;0.4233576642335766;0.4755244755244755;0.7764423076923077;0.27351664254703323;4.949570486415573
TREL B;0.07958775454376046;0.09817945383615084;0.3677350596036946;0.08705166016554086;0.3333333333333333;0.16223661678207132;0.25;0.18769268713774817;0.11711711711711711;0.37761579590283756;0.26277372262773724;0.4615384615384615;0.4591346153846154;0.25325615050651223;3.4972524284795807
FNOX;0.0251470829879442;0.4837451235370611;0.26829557116917974;0.7886975549424412;1.0;0.4027250390886754;1.0;0.010482180293501047;0.38738738738738737;0.0310391092776899;0.145985401459854;0.16783216783216784;0.23076923076923078;0.37192474674384945;5.314030595488982
EPI B;0.22493117461681314;0.06653662765496315;0.1147548748717139;0.006849966701550757;0.42857142857142855;0.15851388578661305;0.65625;0.08447404118880257;0.14414414414414414;0.15633698460059678;0.16058394160583941;0.15384615384615385;0.2451923076923077;0.08972503617945007;2.6907105674603766
ADDT B;0.06605492628179531;0.057650628521889895;0.16163850951290754;0.027590143659023878;0.26190476190476186;0.30176457449184724;0.78125;0.07682821556295474;0.05405405405405406;0.27268358131245374;0.3868613138686131;0.6153846153846154;0.40865384615384615;0.5036179450072358;3.9759371157159986
LIFCO B;0.13066036566726427;0.038144776766363235;0.12071524433567536;0.007230520407192466;0.40476190476190477;0.3107735835008562;0.59375;0.08496732026143791;0.13513513513513514;0.30712697999479344;0.3795620437956204;0.6363636363636364;0.29086538461538464;0.35166425470332846;3.7917211503085926
8TRA;0.14995625835933507;0.008885999133073256;0.03221362595721165;0.0;0.16666666666666666;0.006105278832551554;0.4375;0.6982365273153287;0.09909909909909909;0.3151370727116167;0.4525547445255474;0.4615384615384615;0.3125;0.0130246020260492;3.153418336164941
SDIP B;0.0010721980335080244;0.006285218899003034;0.019825136180626826;0.004852059746931786;0.2857142857142857;0.1541210632119723;0.28125;0.13713158219262547;0.018018018018018014;0.27468610449165953;0.2116788321167883;0.3986013986013986;0.1298076923076923;0.5918958031837915;2.5149393926983015
SINCH;0.014972217402838939;0.642175986129172;0.17919791584431988;0.9999999999999999;0.0;0.9999999999999999;0.0;0.0;0.48648648648648646;0.0;0.007299270072992692;0.6153846153846154;0.0;0.13603473227206947;4.081551223592495
HTRO;0.00016156408724093442;0.2739488513220633;0.12416317991631799;0.7571115973741794;0.21428571428571427;0.11540466085920631;0.375;0.028610186212849918;0.42342342342342343;0.020265534573562692;0.7810218978102189;0.2237762237762238;0.18990384615384615;0.516642547033285;4.043719226828133
INDT;0.09597824759879965;0.026657997399219764;0.0795946159311597;0.004566644467700505;0.26190476190476186;0.2783858238403693;0.53125;0.08879023307436182;0.09009009009009009;0.2852994773414502;0.26277372262773724;0.4965034965034965;0.25;0.32272069464544134;3.0745158054245882
MYCR;0.02576855393716075;0.007152145643693108;0.031110365516696926;0.0018076301017981161;0.6904761904761905;0.15434442707169982;0.78125;0.18571957084720678;0.06306306306306306;0.3647996475559205;0.3868613138686131;0.6363636363636364;0.3701923076923077;0.2937771345875542;3.9926859867255406
LAGR B;0.02708401607929859;0.015604681404421325;0.025554590668666614;0.0030444296451336695;0.3333333333333333;0.2906708361253816;0.75;0.05068442471328154;0.05405405405405406;0.15934076936940547;0.41605839416058393;0.6083916083916084;0.39903846153846156;0.48191027496382044;3.6147698744474503
NCAB;0.0019167375804492771;0.010836584308625921;0.0006137996368516616;0.001712491675387689;0.2857142857142857;0.24115851388578663;0.78125;0.01973116290541374;0.009009009009009007;0.03648597232512967;0.0656934306569343;0.3356643356643357;0.20673076923076925;0.7178002894356005;2.714317382028579
SECT B;0.03976771490548042;0.03402687472908539;0.08670561301018394;0.01417562553515365;0.45238095238095233;0.824882733973643;0.8125;0.02589715131335553;0.05405405405405406;0.23543665017922585;0.45985401459854014;0.8251748251748252;0.2932692307692308;0.41099855282199704;4.569123993445728
VIT B;0.009560738458036025;0.0017338534893801476;0.018674508565564064;0.0009513842641042718;0.40476190476190477;0.36505100141463775;0.28125;0.1190035762732766;0.03603603603603603;0.5038748823517633;0.04379562043795619;0.1258741258741259;0.22596153846153846;0.3965267727930535;2.5330559431813766
WAWI;0.03986593852670076;0.14304291287386217;0.1620608668192942;0.10246408524403007;0.47619047619047616;0.0;0.9375;0.26760389690467384;0.0;0.09676192001922423;0.437956204379562;0.4195804195804196;0.8774038461538461;0.7192474674384949;4.679678034130585
IVSO;0.0;0.0;0.0;0.0;0.42857142857142855;0.367880276971186;0.75;0.05167098285855223;0.0;0.2090033442137093;0.2773722627737226;0.25874125874125875;0.28846153846153844;0.280752532561505;2.912453625152901
KOG;0.15656569829191877;0.02340702210663199;0.24818425830899185;0.007991627818475884;0.30952380952380953;0.2628248082793537;0.8125;0.31335553089160195;0.0;1.0;1.0;1.0;1.0;0.9999999999999999;7.1343527552207835
