Code,MCap (M),Vol (K),SEK (K),R Vol,Margin %,P/E,ROE,EPS,Owners,Close,Perf YTD,Perf 1Y,Perf 3Y,Perf 5Y
CRWD,85685,202,13014,31,6,486.74,10,0.76,4,366.41,7,26,122,489
NVDA,3448927,31304,1520370,13799,64,54.78,96,12.48,86,140.83,5,137,503,"2,171"
TSM,1134195,2640,155187,361,49,31.69,27,1.38,16,218.7,11,92,76,276
ARM,162624,3986,261995,6422,0,0.0,0,0.0,4,155.2,26,98,0,0
TSLA,1361290,6962,1190177,6087,9,106.77,18,4.01,77,424.07,5,100,35,"1,062"
GOOGL,2467534,2023,111759,92,33,25.82,30,7.61,21,198.05,5,35,52,167
PANW,59095,378,22376,143,13,43.87,46,8.51,4,183.51,1,9,128,353
NET,36640,122,2420,8,-5,-437.38,-10,-0.26,2,119.85,11,47,35,566
META,1343883,1069,194697,155,41,28.07,34,21.82,19,616.46,5,61,103,178
MSFT,3185846,3655,349775,401,44,35.19,31,12.18,60,428.5,2,7,45,157
AAPL,3348032,6674,733248,1462,32,36.44,165,6.11,61,222.64,-11,16,37,181
PLTR,154900,5839,200556,7560,19,344.99,11,0.22,24,73.07,-3,335,440,0
APP,101066,255,32250,81,29,98.9,123,3.39,0,338.39,4,723,394,0
RKLB,15632,4855,62815,19508,-51,-82.64,-45,-0.37,3,31.27,23,543,248,0
CYBR,15494,30,2370,5,3,1231.63,1,0.29,0,355.58,7,53,160,156
AMZN,2425918,3700,353570,539,10,48.58,19,4.77,31,230.71,5,49,62,144
AMTM,5740,30,142,1,-1,-26.18,-2,-0.9,0,23.59,12,0,0,0
