Code,MCap (M),Vol (K),SEK (K),R Vol,Margin %,P/E,ROE,EPS,Owners,Close,Perf YTD,Perf 1Y,Perf 3Y,Perf 5Y
RHMd,31223,218,155027,1080,12,53.54,15,14.02,7,705.4,15,114,655,560
SAPd,304635,905,237335,705,13,57.58,13,2.41,2,256.75,9,72,112,104
ADYENa,46957,53,79425,89,55,56.26,23,26.57,1,1491.4,4,32,-19,90
SIEd,165880,775,160630,751,15,17.97,16,10.53,4,204.15,8,27,42,74
BESIa,11815,267,38938,881,34,64.55,38,2.3,0,143.95,9,0,78,277
R3NKd,0,319,7029,inf,0,0.0,0,0.0,0,22.08,20,0,0,0
NOVO B,2606220,1876,1100409,792,44,26.96,79,21.25,62,573.6,-8,-22,82,178
ASMLa,294303,592,440590,886,32,41.45,43,17.54,8,732.4,8,7,16,170
KOG,235911,151,200229,128,13,47.5,27,27.42,4,1295.0,1,147,374,788
WAWI,37868,205,18280,99,19,3.96,30,20.03,3,88.65,-5,-13,81,226
MAERSK B,161800,6,61396,2,8,6.77,6,1564.1,2,10465.0,-12,-19,-54,22
