Code,MCap (M),Vol (K),SEK (K),R Vol,Margin %,P/E,ROE,EPS,Owners,Close,Perf YTD,Perf 1Y,Perf 3Y,Perf 5Y
ABB,1198980,676,435255,245,16,29.51,26,20.89,55,626.0,5,48,86,176
SAAB B,124598,822,188648,1245,9,30.51,11,18.64,117,229.6,-2,37,293,169
FNOX,43907,829,59166,1117,42,61.97,32,1.14,43,70.1,-3,33,35,254
ADDT B,87076,150,47604,82,11,46.89,28,6.45,9,311.6,3,51,77,298
LIFCO B,157795,124,42947,34,17,47.58,19,7.12,18,343.4,7,40,61,186
INDT,108787,152,45510,64,11,39.58,17,7.47,12,296.4,7,22,23,146
8TRA,160000,140,44756,39,7,5.67,15,56.22,15,319.0,0,27,37,28
ALIV SDB,88520,44,48789,24,7,12.71,29,81.73,8,1085.8,6,2,18,45
APOTEA,7688,252,18409,603,0,0.0,0,0.0,50,74.3,-12,0,0,0
MILDEF,5906,181,23127,708,7,91.52,6,1.36,13,125.6,1,72,142,0
